,predicate,functionality,inverse_functionality,inversability
0,http://yago-knowledge.org/resource/isAffiliatedTo,1.0,0.35662752864620173,0.35662752864620173
1,http://yago-knowledge.org/resource/isPreferredMeaningOf,1.0,1.0,1.0
2,http://dbpedia.org/ontology/team,1.0,0.1958344047312934,0.1958344047312934
3,http://yago-knowledge.org/resource/hasWikipediaUrl,1.0,1.0,1.0
4,http://dbpedia.org/ontology/managerClub,1.0,0.6791590493601463,0.6791590493601463
5,http://dbpedia.org/ontology/birthDate,1.0,0.573785130181408,0.573785130181408
6,http://xmlns.com/foaf/0.1/surname,1.0,0.7678418345477925,0.7678418345477925
7,http://dbpedia.org/ontology/birthPlace,1.0,0.23740554156171284,0.23740554156171284
8,http://www.w3.org/2004/02/skos/core#prefLabel,1.0,1.0,1.0
9,http://www.w3.org/2000/01/rdf-schema#label,0.9986636177352776,0.9901107712410536,0.9887876047662564
10,http://xmlns.com/foaf/0.1/gender,1.0,9.499382540134892e-05,9.499382540134892e-05
11,http://yago-knowledge.org/resource/hasWikipediaArticleLength,1.0,0.41397383695746337,0.41397383695746337
12,http://xmlns.com/foaf/0.1/givenName,1.0,0.2906564817889959,0.2906564817889959
13,http://dbpedia.org/ontology/residence,1.0,0.9,0.9
14,http://dbpedia.org/ontology/height,1.0,0.022741433021806853,0.022741433021806853
15,http://dbpedia.org/ontology/isPartOf,1.0,0.5767123287671233,0.5767123287671233
16,http://dbpedia.org/ontology/deathDate,1.0,0.8593548387096774,0.8593548387096774
17,http://www.w3.org/2003/01/geo/wgs84_pos#lat,1.0,0.8210235979160282,0.8210235979160282
18,http://www.w3.org/2003/01/geo/wgs84_pos#long,1.0,0.9240661359461114,0.9240661359461114
19,http://yago-knowledge.org/resource/actedIn,1.0,1.0,1.0
20,http://dbpedia.org/ontology/country,1.0,0.13702928870292888,0.13702928870292888
21,http://dbpedia.org/ontology/nationality,1.0,0.29411764705882354,0.29411764705882354
22,http://yago-knowledge.org/resource/hasNumberOfPeople,1.0,0.991701244813278,0.991701244813278
23,http://dbpedia.org/ontology/spouse,1.0,1.0,1.0
24,http://dbpedia.org/ontology/populationTotal,1.0,0.8068622025456558,0.8068622025456558
25,http://dbpedia.org/ontology/PopulatedPlace/populationDensity,1.0,0.8728448275862069,0.8728448275862069
26,http://dbpedia.org/ontology/deathPlace,1.0,0.5219512195121951,0.5219512195121951
27,http://dbpedia.org/ontology/deathYear,1.0,0.296551724137931,0.296551724137931
28,http://dbpedia.org/ontology/birthYear,1.0,0.26204238921001927,0.26204238921001927
29,http://dbpedia.org/ontology/area,1.0,0.7661016949152543,0.7661016949152543
30,http://yago-knowledge.org/resource/hasWeight,1.0,0.7267441860465116,0.7267441860465116
31,http://dbpedia.org/ontology/currency,1.0,1.0,1.0
32,http://dbpedia.org/ontology/leader,1.0,1.0,1.0
33,http://yago-knowledge.org/resource/hasGeonamesEntityId,1.0,1.0,1.0
34,http://dbpedia.org/ontology/weight,1.0,0.375886524822695,0.375886524822695
35,http://dbpedia.org/ontology/alias,1.0,0.9606299212598425,0.9606299212598425
36,http://dbpedia.org/ontology/influenced,1.0,0.9775280898876404,0.9775280898876404
37,http://dbpedia.org/ontology/almaMater,1.0,0.8392857142857143,0.8392857142857143
38,http://dbpedia.org/ontology/notableWork,1.0,1.0,1.0
39,http://yago-knowledge.org/resource/hasWonPrize,1.0,0.44,0.44
40,http://dbpedia.org/ontology/award,1.0,0.9259259259259259,0.9259259259259259
41,http://dbpedia.org/ontology/pseudonym,1.0,1.0,1.0
42,http://dbpedia.org/ontology/lieutenancyArea,1.0,0.6666666666666666,0.6666666666666666
43,http://dbpedia.org/ontology/influencedBy,1.0,1.0,1.0
44,http://dbpedia.org/ontology/principalArea,1.0,0.5555555555555556,0.5555555555555556
45,http://yago-knowledge.org/resource/hasMusicalRole,1.0,0.4666666666666667,0.4666666666666667
46,http://dbpedia.org/ontology/length,1.0,1.0,1.0
47,http://dbpedia.org/ontology/birthName,1.0,1.0,1.0
48,http://dbpedia.org/ontology/formerTeam,1.0,0.9130434782608695,0.9130434782608695
49,http://dbpedia.org/ontology/party,1.0,0.65,0.65
50,http://dbpedia.org/ontology/child,1.0,1.0,1.0
51,http://dbpedia.org/ontology/language,1.0,0.875,0.875
52,http://dbpedia.org/ontology/stateOfOrigin,1.0,0.7777777777777778,0.7777777777777778
53,http://dbpedia.org/ontology/officialLanguage,1.0,0.875,0.875
54,http://dbpedia.org/ontology/longName,1.0,1.0,1.0
55,http://dbpedia.org/ontology/populationMetroDensity,1.0,1.0,1.0
56,http://yago-knowledge.org/resource/wroteMusicFor,1.0,1.0,1.0
57,http://dbpedia.org/ontology/councilArea,1.0,0.7058823529411765,0.7058823529411765
58,http://dbpedia.org/ontology/citizenship,1.0,1.0,1.0
59,http://dbpedia.org/ontology/picture,1.0,1.0,1.0
60,http://dbpedia.org/ontology/capital,1.0,1.0,1.0
61,http://dbpedia.org/ontology/county,1.0,0.75,0.75
62,http://dbpedia.org/ontology/mainInterest,1.0,1.0,1.0
63,http://dbpedia.org/ontology/activeYearsEndDate,1.0,1.0,1.0
64,http://dbpedia.org/ontology/hometown,1.0,1.0,1.0
65,http://dbpedia.org/ontology/dissolutionYear,1.0,1.0,1.0
66,http://yago-knowledge.org/resource/owns,1.0,1.0,1.0
67,http://dbpedia.org/ontology/doctoralAdvisor,1.0,1.0,1.0
68,http://dbpedia.org/ontology/notableIdea,1.0,1.0,1.0
69,http://dbpedia.org/ontology/knownFor,1.0,1.0,1.0
70,http://dbpedia.org/ontology/foundingYear,1.0,1.0,1.0
71,http://yago-knowledge.org/resource/holdsPoliticalPosition,1.0,1.0,1.0
72,http://dbpedia.org/ontology/successor,1.0,1.0,1.0
73,http://dbpedia.org/ontology/PopulatedPlace/populationMetroDensity,1.0,1.0,1.0
74,http://dbpedia.org/ontology/notableStudent,1.0,1.0,1.0
75,http://dbpedia.org/ontology/restingPlace,1.0,1.0,1.0
76,http://dbpedia.org/ontology/education,1.0,1.0,1.0
77,http://dbpedia.org/ontology/field,1.0,1.0,1.0
78,http://dbpedia.org/ontology/activeYearsStartYear,1.0,1.0,1.0
79,http://dbpedia.org/ontology/ethnicGroup,1.0,1.0,1.0
80,http://dbpedia.org/ontology/doctoralStudent,1.0,1.0,1.0
81,http://yago-knowledge.org/resource/hasInflation,1.0,0.5,0.5
82,http://yago-knowledge.org/resource/exports,1.0,1.0,1.0
83,http://dbpedia.org/ontology/Person/height,1.0,1.0,1.0
84,http://dbpedia.org/ontology/areaUrban,1.0,1.0,1.0
85,http://dbpedia.org/ontology/largestCity,1.0,1.0,1.0
86,http://dbpedia.org/ontology/recordLabel,1.0,1.0,1.0
87,http://yago-knowledge.org/resource/dealsWith,1.0,1.0,1.0
88,http://dbpedia.org/ontology/openingYear,1.0,1.0,1.0
89,http://yago-knowledge.org/resource/hasTLD,1.0,1.0,1.0
90,http://yago-knowledge.org/resource/hasEconomicGrowth,1.0,1.0,1.0
